title,year,director,image,excerpt
all about eve,1950,,https://upload.wikimedia.org/wikipedia/commons/a/a7/All_About_Eve_%281950_poster_-_retouch%29.jpg,"All About Eve is a 1950 American drama film written and directed by Joseph L. Mankiewicz, and produced by Darryl F. Zanuck. It is based on the 1946 short story ""The Wisdom of Eve"" by Mary Orr, although Orr does not receive a screen credit."
sunset boulevard,1950,,https://upload.wikimedia.org/wikipedia/commons/1/14/Sunset_Boulevard_%281950_poster%29.jpg,"Sunset Boulevard is a 1950 American black comedy film noir directed by Billy Wilder and co-written by Wilder, Charles Brackett, and D. M. Marshman Jr. It is named after a major street that runs through Hollywood and western Los Angeles."
born yesterday,1950,,https://upload.wikimedia.org/wikipedia/commons/1/16/Born_Yesterday_%281950_poster%29.jpg,"Born Yesterday is a 1950 American romantic comedy-drama film directed by George Cukor, based on the 1946 stage play of the same name by Garson Kanin. The screenplay was credited to Albert Mannheimer. According to Kanin's autobiography, Cukor did not like Mannheimer's work, believing it lacked much of the play's value, so he approached Kanin about adapting a screenplay from his own play. Because of legal entanglements, Kanin did not receive screen credit."
in a lonely place,1950,,https://upload.wikimedia.org/wikipedia/commons/5/52/In_a_Lonely_Place_%281950_poster%29.jpg,"In a Lonely Place is a 1950 American film noir by director Nicholas Ray and starring Humphrey Bogart and Gloria Grahame, produced for Bogart's-own Santana Productions. The script was written by Andrew P. Solt from Edmund H. North's adaptation of Dorothy B. Hughes' 1947 novel of the same title."
a streetcar named desire,1951,,https://upload.wikimedia.org/wikipedia/commons/f/fe/A_Streetcar_Named_Desire_%281951%29.jpg,"A Streetcar Named Desire is a 1951 American Southern Gothic drama film adapted from Tennessee Williams's Pulitzer Prize-winning play of the same name. Directed by Elia Kazan, it stars Vivien Leigh, Marlon Brando, Kim Hunter, and Karl Malden. The film tells the story of a Mississippi Southern belle, Blanche DuBois (Leigh), who, after encountering a series of personal losses, seeks refuge with her sister (Hunter) and brother-in-law (Brando) in a dilapidated New Orleans apartment building. The original Broadway production and cast was converted to film, albeit with several changes and sanitizations related to censorship."
an american in paris,1951,,https://upload.wikimedia.org/wikipedia/commons/8/8d/An_American_in_Paris_%281951_film_poster%29.jpg,"An American in Paris is a 1951 American musical romantic comedy film inspired by the 1928 jazz-influenced symphonic poem An American in Paris by George Gershwin. Starring Gene Kelly, Leslie Caron, Oscar Levant, Georges Guétary, and Nina Foch, the film is set in Paris and was directed by Vincente Minnelli from a script by Alan Jay Lerner. The music is by George Gershwin with lyrics by his brother Ira, with additional music by Johnny Green and Saul Chaplin, the music directors."
strangers on a train,1951,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Strangers_on_a_Train_%28film%29.jpg,"Strangers on a Train is a 1951 American psychological thriller film noir produced and directed by Alfred Hitchcock, and adapted by Raymond Chandler and Czenzi Ormonde from the 1950 novel of the same name by Patricia Highsmith. It was shot in late 1950, and released by Warner Bros. Pictures on June 30, 1951, starring Farley Granger, Ruth Roman and Robert Walker."
the day the earth stood still,1951,,https://upload.wikimedia.org/wikipedia/commons/6/63/The_Day_the_Earth_Stood_Still_%281951_poster%29.jpeg,"The Day the Earth Stood Still is a 1951 American science fiction film from 20th Century Fox, produced by Julian Blaustein and directed by Robert Wise. It stars Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe, Billy Gray, Frances Bavier and Lock Martin. The screenplay was written by Edmund H. North, based on the 1940 science fiction short story ""Farewell to the Master"" by Harry Bates. The film score was composed by Bernard Herrmann. Set in the Cold War during the early stages of the nuclear arms race, the storyline involves a humanoid alien visitor who comes to Earth, accompanied by a powerful robot, to deliver an important message that will affect the entire human race. In 1995, the film was selected for preservation in the United States National Film Registry as ""culturally, historically, or aesthetically significant""."
high noon,1952,,https://upload.wikimedia.org/wikipedia/commons/8/81/High_Noon_%281952_poster%29.jpg,"High Noon is a 1952 American Western film directed by Fred Zinnemann, produced by Stanley Kramer, and starring Gary Cooper, Grace Kelly, Katy Jurado, Thomas Mitchell, Lloyd Bridges, and Otto Kruger. The screenplay by Carl Foreman is based on John W. Cunningham's short story ""The Tin Star"", first published in Collier's magazine in 1947. The plot, which occurs in real time, centers on a town marshal whose sense of duty is tested when he must decide to either face a gang of killers alone, or leave town with his new wife."
singing in the rain,1952,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Singin%27_in_the_Rain_%281952_poster%29.jpg,"Singin' in the Rain is a 1952 American musical romantic comedy film directed and choreographed by Gene Kelly and Stanley Donen, starring Kelly, Donald O'Connor and Debbie Reynolds, with Jean Hagen, Millard Mitchell, Douglas Fowley, Rita Moreno and Cyd Charisse in supporting roles. It offers a lighthearted depiction of Hollywood in the late 1920s, with the three stars portraying performers caught up in the transition from silent films to ""talkies""."
roman holiday,1953,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Roman_Holiday_%281953_poster%29.jpg,Roman Holiday is a 1953 American romantic comedy film directed and produced by William Wyler. It stars Audrey Hepburn as a princess out to see Rome on her own and Gregory Peck as a reporter. Hepburn won an Academy Award for Best Actress for her performance; the film also won the Academy Award for Best Story and the Academy Award for Best Costume Design.
from here to eternity,1953,,https://upload.wikimedia.org/wikipedia/commons/5/53/From_Here_to_Eternity_%281953_poster%29.jpg,"From Here to Eternity is a 1953 American romantic war drama film directed by Fred Zinnemann and written by Daniel Taradash, based on the 1951 novel by James Jones. It deals with the tribulations of three United States Army soldiers, played by Burt Lancaster, Montgomery Clift, and Frank Sinatra, stationed in Hawaii in the months leading up to the attack on Pearl Harbor. Deborah Kerr and Donna Reed portray the women in their lives. The supporting cast features Ernest Borgnine, Philip Ober, Jack Warden, Mickey Shaughnessy, Claude Akins, and George Reeves."
shane,1953,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Shane_%281953_poster%29.jpg,"Shane is a 1953 American Western film directed and produced by George Stevens and starring Alan Ladd, Jean Arthur, Van Heflin, Brandon deWilde and Jack Palance. The screenplay, written by A. B. Guthrie Jr., is based on the 1949 novel of the same name by Jack Schaefer. Set in the Wyoming Territory in 1889, the film follows the titular character, seemingly a drifter with a mysterious past who becomes embroiled in a conflict between poor homesteaders and wealthy ranchers. The novel and film were both inspired by the Johnson County War (1889–1893)."
stalag 17,1953,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Stalag_17_%281953%29_1959_re-release_poster.jpg,"Stalag 17 is a 1953 American war film that recounts the story of a group of American airmen confined in a German prisoner-of-war camp. The film focuses on one particular barracks, where the men come to suspect that one of their number is an informant."
peter pan,1953,,https://upload.wikimedia.org/wikipedia/commons/d/dc/Peter_Pan_%281953_poster%29.jpg,"Peter Pan is a 1953 American animated fantasy adventure film produced by Walt Disney Productions and released by RKO Radio Pictures. Based on J. M. Barrie's 1904 play of the same name, the film was directed by Hamilton Luske, Clyde Geronimi, and Wilfred Jackson. Featuring the voices of Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson, Heather Angel, Paul Collins, Tommy Luske, Candy Candido, Tom Conway, Roland Dupree and Don Barclay, the film's plot follows Wendy Darling and her two brothers, who meet the eternally-young Peter Pan and travel with him to the island of Never Land to stay young, where they also have to face Peter's archenemy, Captain Hook."
gentlemen prefer blondes,1953,,https://upload.wikimedia.org/wikipedia/en/3/32/Gentlemen_Prefer_Blondes_%281953%29_film_poster.jpg,"Gentlemen Prefer Blondes is a 1953 American musical comedy film directed by Howard Hawks and written by Charles Lederer. The film is based on the 1949 stage musical of the same name, which in turn is based on the 1925 novel of the same name by Anita Loos. The film stars Jane Russell and Marilyn Monroe, with Charles Coburn, Elliott Reid, Tommy Noonan, George Winslow, Taylor Holmes and Norma Varden in supporting roles."
how to marry a millionaire,1953,,https://upload.wikimedia.org/wikipedia/commons/e/ef/How_to_marry_a_millionaire_1953_poster.jpg,How to Marry a Millionaire is a 1953 American romantic comedy film directed by Jean Negulesco and written and produced by Nunnally Johnson. The screenplay by Johnson was based on the plays The Greeks Had a Word for It (1930) by Zoe Akins and Loco (1946) by Dale Eunson and Katherine Albert.
on the waterfront,1954,,https://upload.wikimedia.org/wikipedia/commons/e/ee/On_the_Waterfront_%281954_poster%29.jpg,"On the Waterfront is a 1954 American crime drama film, directed by Elia Kazan and written by Budd Schulberg. It stars Marlon Brando, and features Karl Malden, Lee J. Cobb, Rod Steiger, Pat Henning and Eva Marie Saint in her film debut. The musical score was composed by Leonard Bernstein, his only original film score. The black-and-white film was inspired by ""Crime on the Waterfront"" by Malcolm Johnson, a series of articles published in November–December 1948 in the New York Sun which won the 1949 Pulitzer Prize for Local Reporting, but the screenplay by Budd Schulberg is directly based on his own original story. The film focuses on union violence and corruption among longshoremen, while detailing widespread corruption, extortion, and racketeering on the waterfronts of Hoboken, New Jersey."
dial m for murder,1954,,https://upload.wikimedia.org/wikipedia/commons/4/48/Dial_M_For_Murder.jpg,"Dial M for Murder is a 1954 American crime thriller film directed by Alfred Hitchcock, starring Ray Milland, Grace Kelly, Robert Cummings, Anthony Dawson, and John Williams. Both the screenplay and the successful stage play on which it was based were written by English playwright Frederick Knott. The play premiered in 1952 on BBC Television, before being performed on stage in the same year in London's West End in June, and then New York City's Broadway in October."
sabrina,1954,,https://upload.wikimedia.org/wikipedia/commons/3/3b/Sabrina_%281954_film_poster%29.jpg,"Sabrina is a 1954 American romantic comedy-drama film produced and directed by Billy Wilder, from a screenplay he co-wrote with Samuel Taylor and Ernest Lehman, based on Taylor's 1953 play Sabrina Fair. The picture stars Humphrey Bogart, Audrey Hepburn, and William Holden. This was Wilder's last film released by Paramount Pictures, ending a 12-year business relationship between him and the company."
rear window,1954,,https://upload.wikimedia.org/wikipedia/commons/3/38/Rear_Window_film_poster.jpg,"Rear Window is a 1954 American mystery thriller film produced and directed by Alfred Hitchcock and written by John Michael Hayes, based on Cornell Woolrich's 1942 short story ""It Had to Be Murder"". Originally released by Paramount Pictures, the film stars James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, and Raymond Burr. It was screened at the 1954 Venice Film Festival in competition for the Golden Lion."
to catch a thief,1955,,https://upload.wikimedia.org/wikipedia/commons/8/8b/To_Catch_a_Thief.jpg,"To Catch a Thief is a 1955 American romantic thriller film directed by Alfred Hitchcock, from a screenplay by John Michael Hayes based on the 1952 novel of the same name by David Dodge. The film stars Cary Grant as a retired cat burglar who has to save his reformed reputation by catching an impostor preying on wealthy tourists on the French Riviera."
marty,1955,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Marty_%281955_film_poster%29.jpg,"Marty is a 1955 American romantic drama film directed by Delbert Mann in his directorial debut. The screenplay was written by Paddy Chayefsky, expanding upon his 1953 teleplay, which was broadcast on The Philco-Goodyear Television Playhouse and starred Rod Steiger in the title role."
the lady and the tramp,1955,,https://upload.wikimedia.org/wikipedia/en/3/39/Lady-and-tramp-1955-poster.jpg,"Lady and the Tramp is a 1955 American animated musical romantic comedy film produced by Walt Disney Productions and released by Buena Vista Film Distribution. Based on Ward Greene's 1945 Cosmopolitan magazine story ""Happy Dan, the Cynical Dog"", it was directed by Hamilton Luske, Clyde Geronimi, and Wilfred Jackson. The film features the voices of Peggy Lee, Barbara Luddy, Larry Roberts, Bill Thompson, Bill Baucom, Stan Freberg, Verna Felton, Alan Reed, George Givot, Dallas McKennon, and Lee Millar. The film follows Lady, the pampered cocker spaniel, as she grows from puppy to adult, deals with changes in her family, and meets and falls in love with the homeless mutt Tramp."
the seven year itch,1955,,https://upload.wikimedia.org/wikipedia/en/d/dc/The_Seven_Year_Itch.png,"The Seven Year Itch is a 1955 American romantic comedy film directed by Billy Wilder, who co-wrote the screenplay with George Axelrod. Based on Axelrod's 1952 play, the film stars Marilyn Monroe and Tom Ewell, with the latter reprising his stage role. It contains one of the most iconic pop culture images of the 20th century, in the form of Monroe standing on a subway grate as her white dress is blown upwards by a passing train. The titular phrase, which refers to waning interest in a monogamous relationship after seven years of marriage, has been used by psychologists."
around the world in 80 days,1956,,https://upload.wikimedia.org/wikipedia/en/5/5e/Around_the_World_in_80_Days_%281956_film%29_poster.jpg,"Around the World in 80 Days is a 1956 American epic adventure-comedy film starring David Niven, Cantinflas, Robert Newton, and Shirley MacLaine, produced by the Michael Todd Company and released by United Artists."
the searchers,1956,,https://upload.wikimedia.org/wikipedia/commons/5/59/SearchersPoster-BillGold.jpg,"The Searchers is a 1956 American epic Western film directed by John Ford and written by Frank S. Nugent, based on the 1954 novel by Alan Le May. It is set during the Texas–Indian wars and stars John Wayne as a middle-aged Civil War veteran who, accompanied by his adopted, partially Native American nephew, spends years looking for his abducted niece. It was shot in VistaVision on Eastmancolor negative with processing and prints by Technicolor."
12 angry men,1957,,https://upload.wikimedia.org/wikipedia/commons/b/b5/12_Angry_Men_%281957_film_poster%29.jpg,"12 Angry Men is a 1957 American legal drama film directed by Sidney Lumet in his feature directorial debut, adapted by Reginald Rose from his 1954 teleplay. A critique of the American jury system during the McCarthy era, the film tells the story of a jury of twelve men as they deliberate the conviction or acquittal of a teenager charged with murder on the basis of reasonable doubt; disagreement and conflict among the jurors forces them to question their morals and values. It stars an ensemble cast, featuring Henry Fonda, Lee J. Cobb, Ed Begley, E. G. Marshall, and Jack Warden."
paths of glory,1957,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Paths_of_Glory_%281957_poster%29.jpg,"Paths of Glory is a 1957 American anti-war film directed by Stanley Kubrick, from a screenplay he co-wrote with Calder Willingham and Jim Thompson. It is adapted from the 1935 novel of the same name by Humphrey Cobb, which in turn was based on the Souain corporals affair during World War I. The film stars Kirk Douglas as Colonel Dax, the commanding officer of French soldiers who refuse to continue a suicidal attack, after which Dax defends them against charges of cowardice in a court-martial. It also features Ralph Meeker, Adolphe Menjou, George Macready, Timothy Carey, Joe Turkel, Wayne Morris and Richard Anderson."
the bridge on the river kwai,1957,,https://upload.wikimedia.org/wikipedia/commons/d/d9/The_Bridge_on_the_River_Kwai_%281958_US_poster_-_Style_A%29.jpg,"The Bridge on the River Kwai is a 1957 epic war film directed by David Lean and based on the novel The Bridge over the River Kwai, written by Pierre Boulle. Boulle's novel and the film's screenplay are fictional; they use the construction of the Burma Railway in 1942–1943 as historical setting. It stars William Holden, Alec Guinness, and Jack Hawkins, with Sessue Hayakawa, James Donald, Ann Sears, and Geoffrey Horne in supporting roles."
witness for the prosecution,1957,,https://upload.wikimedia.org/wikipedia/en/c/cf/Witness_for_the_Prosecution_%281957_film%29_poster.jpg,"Witness for the Prosecution is a 1957 American legal mystery melodrama film directed by Billy Wilder and starring Tyrone Power, Marlene Dietrich, and Charles Laughton, with Elsa Lanchester and John Williams. The film, which has elements of bleak black comedy and film noir, is a courtroom drama set in the Old Bailey in London and is based on the 1953 play of the same title by Agatha Christie. The first film adaptation of Christie's story, Witness for the Prosecution was written for the screen by Wilder and Harry Kurnitz and adapted by Larry Marcus."
I want to live!,1958,,https://upload.wikimedia.org/wikipedia/commons/c/ce/I_Want_to_Live%21_%281958%29_master_poster_art.jpg,"I Want to Live! is a 1958 American independent biographical film noir drama film directed by Robert Wise, and starring Susan Hayward, Simon Oakland, Virginia Vincent, and Theodore Bikel. It follows the life of Barbara Graham, a prostitute and habitual criminal, who is convicted of murder and faces capital punishment. The screenplay, written by Nelson Gidding and Don Mankiewicz, was adapted from personal letters written by Graham, in addition to newspaper articles written by Pulitzer Prize-winning journalist Ed Montgomery in the San Francisco Examiner. The film presents a highly fictionalized version of the case, indicating the possibility that Graham may have been innocent."
north by northwest,1959,,https://upload.wikimedia.org/wikipedia/commons/8/83/Northbynorthwest1.jpg,"North by Northwest is a 1959 American spy thriller film produced and directed by Alfred Hitchcock, starring Cary Grant, Eva Marie Saint, and James Mason. The original screenplay written by Ernest Lehman was intended to be the basis for ""the Hitchcock picture to end all Hitchcock pictures""."
ben-hur,1959,,https://upload.wikimedia.org/wikipedia/commons/2/27/Ben_Hur_1959_film_Poster.jpg,"Ben-Hur is a 1959 American religious epic film directed by William Wyler, produced by Sam Zimbalist, and starring Charlton Heston as the title character. A remake of the 1925 silent film with a similar title, it was adapted from Lew Wallace's 1880 novel Ben-Hur: A Tale of the Christ. The screenplay is credited to Karl Tunberg, but includes contributions from Maxwell Anderson, S. N. Behrman, Gore Vidal, and Christopher Fry. The cast also features Stephen Boyd, Jack Hawkins, Haya Harareet, Hugh Griffith, Martha Scott, Cathy O'Donnell and Sam Jaffe."
the apartment,1960,,https://upload.wikimedia.org/wikipedia/commons/8/8b/The_Apartment_%281960_poster%29.jpg,"The Apartment is a 1960 American romantic comedy film directed and produced by Billy Wilder from a screenplay he co-wrote with I. A. L. Diamond. Jack Lemmon stars as an insurance clerk who, in hopes of climbing the corporate ladder, allows his superiors to use his Upper West Side apartment to conduct their extramarital affairs. He becomes attracted to an elevator operator in his office building, unaware that she is having an affair with the head of personnel. Ray Walston and Edie Adams feature in supporting roles."
the magnificent seven,1960,,https://upload.wikimedia.org/wikipedia/commons/8/87/The_Magnificent_Seven_%281960_poster%29.jpg,"The Magnificent Seven is a 1960 American Western film directed by John Sturges. The screenplay, credited to William Roberts, is a remake – in an Old West-style – of Akira Kurosawa's 1954 Japanese film Seven Samurai. The ensemble cast includes Yul Brynner, Steve McQueen, Charles Bronson, Robert Vaughn, Brad Dexter, James Coburn, and Horst Buchholz as a group of seven gunfighters hired to protect a small village in Mexico from a group of marauding bandits led by the ruthless chief Calvera."
spartacus,1960,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Spartacus_-_1960_-_poster.png,"Spartacus is a 1960 American epic historical drama film directed by Stanley Kubrick and starring Kirk Douglas in the title role, a slave and gladiator who leads a rebellion against Rome during the events of the Third Servile War. Adapted by Dalton Trumbo from Howard Fast's 1951 novel of the same title, the film also stars Laurence Olivier as Roman general and politician Marcus Licinius Crassus, Charles Laughton as rival senator Sempronius Gracchus, Peter Ustinov as gladiatorial school owner Lentulus Batiatus, and John Gavin as Julius Caesar. Jean Simmons played Spartacus' wife Varinia, a fictional character, and Tony Curtis played the fictional slave Antoninus."
primary,1960,,https://upload.wikimedia.org/wikipedia/en/5/5c/Primary_DVD.jpg,"Primary is a 1960 American direct cinema documentary film directed by Robert Drew about the April 5, 1960 primary election in Wisconsin between Democratic Party candidates John F. Kennedy and Hubert Humphrey. They were vying to be chosen as their party's nominee in the upcoming general election. The film covers the last hectic days and hours of the primary campaign."
the hustler,1961,,https://upload.wikimedia.org/wikipedia/commons/e/e0/The_Hustler_%281961_film_poster%29.jpg,"The Hustler is a 1961 American sports drama film, directed by Robert Rossen. It tells the story of small-time pool hustler ""Fast Eddie"" Felson, who challenges legendary pool player ""Minnesota Fats""."
breakfast at tiffanys,1961,,https://upload.wikimedia.org/wikipedia/commons/4/4b/Breakfast_at_Tiffany%27s_%281961_poster%29.jpg,"Breakfast at Tiffany's is a 1961 American romantic comedy film directed by Blake Edwards from a screenplay by George Axelrod and based on the 1958 novella by Truman Capote. It stars Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen, Martin Balsam, and Mickey Rooney. In the film, Holly Golightly, a naïve, eccentric socialite, meets a struggling writer who moves into her apartment building."
one two three,1961,,https://upload.wikimedia.org/wikipedia/commons/b/b4/One_two_three43.jpg,"One, Two, Three is a 1961 American political comedy film directed by Billy Wilder, and written by Wilder and I. A. L. Diamond. It is based on the 1929 Hungarian one-act play Egy, kettő, három by Ferenc Molnár, with a ""plot borrowed partly from"" Ninotchka, a 1939 film co-written by Wilder. The film stars James Cagney, Horst Buchholz, Liselotte Pulver, Pamela Tiffin, Arlene Francis, Leon Askin and Howard St. John. It would be Cagney's last film appearance until Ragtime in 1981, 20 years later."
harakiri,1962,,https://upload.wikimedia.org/wikipedia/en/f/fd/Harakiri_Poster.jpg,"Harakiri is a 1962 Japanese jidaigeki film directed by Masaki Kobayashi. The story takes place between 1619 and 1630 during the Edo period and the rule of the Tokugawa shogunate. It tells the story of the rōnin Hanshirō Tsugumo, who requests to commit seppuku (harakiri) within the manor of a local feudal lord, using the opportunity to explain the events that drove him to ask for death before an audience of samurai. The film continues to receive critical acclaim, often considered one of the greatest films of all time."
to kill a mockingbird,1962,,https://upload.wikimedia.org/wikipedia/commons/2/2f/To_Kill_a_Mockingbird_%281963_US_theatrical_poster%29.jpg,"To Kill a Mockingbird is a 1962 American legal drama crime film directed by Robert Mulligan, starring Gregory Peck and Mary Badham. Adapted from Harper Lee's 1960 Pulitzer Prize–winning novel To Kill a Mockingbird, the film follows lawyer Atticus Finch in Depression-era Alabama educating his children against the Jim Crow laws while defending a black man who is wrongfully indicted for the rape of a white woman."
dr no,1962,,https://upload.wikimedia.org/wikipedia/en/4/43/Dr._No_-_UK_cinema_poster.jpg,"Dr. No is a 1962 spy film and the first film in the James Bond series, starring Sean Connery as the fictional MI6 agent James Bond. Co-starring Ursula Andress, Joseph Wiseman and Jack Lord, it was directed by Terence Young and adapted by Richard Maibaum, Johanna Harwood, and Berkely Mather from the 1958 novel by Ian Fleming. The film was produced by Harry Saltzman and Albert R. Broccoli of Eon Productions, a partnership that continued until 1975. In the film, James Bond is sent to Jamaica to investigate the disappearance of a fellow British agent. The trail leads him to the underground base of Dr. No, who is plotting to disrupt an early American space launch from Cape Canaveral with a radio beam weapon."
charade,1963,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Charade_%281963_poster%29.jpg,"Charade is a 1963 American romantic screwball comedy mystery film produced and directed by Stanley Donen, written by Peter Stone and Marc Behm, and starring Cary Grant and Audrey Hepburn. The cast also features Walter Matthau, James Coburn, George Kennedy, Dominique Minot, Ned Glass and Jacques Marin. It spans three genres: suspense thriller, romance and comedy."
hud,1963,,https://upload.wikimedia.org/wikipedia/commons/8/8a/Hud_%281962_poster%29.jpg,"Hud is a 1963 American contemporary Western film directed and produced by Martin Ritt, and starring Paul Newman, Melvyn Douglas, Brandon deWilde, and Patricia Neal. It was produced by Ritt and Newman's recently founded company, Salem Productions, and was their first film for Paramount Pictures. Its screenplay was by Irving Ravetch and Harriet Frank Jr. and was based on Larry McMurtry's 1961 novel, Horseman, Pass By. The film's title character, Hud Bannon, was a minor character in the original screenplay, but was reworked as the lead role. With its main character an antihero, Hud was later described as a revisionist Western."
the great escape,1963,,https://upload.wikimedia.org/wikipedia/en/a/ac/The_Great_Escape_%28film%29_poster.jpg,"The Great Escape is a 1963 American epic war adventure film starring Steve McQueen, James Garner and Richard Attenborough and featuring James Donald, Charles Bronson, Donald Pleasence, James Coburn, Hannes Messemer, David McCallum, Gordon Jackson, John Leyton and Angus Lennie. It was filmed in Panavision, and its musical score was composed by Elmer Bernstein. Adapted from Paul Brickhill's 1950 non-fiction book of the same name, the film depicts a heavily fictionalized version of the mass escape by British Commonwealth prisoners of war from German POW camp Stalag Luft III in World War II. The film made numerous compromises for its commercial appeal, including its portrayal of American involvement in the escape."
it's a mad mad mad world,1963,,https://upload.wikimedia.org/wikipedia/en/d/da/It%27s_a_Mad%2C_Mad%2C_Mad%2C_Mad_World_%281963%29_theatrical_poster.jpg,"It's a Mad, Mad, Mad, Mad World is a 1963 American Technicolor epic comedy film in Ultra Panavision 70 produced and directed by Stanley Kramer, from a screenplay by William and Tania Rose. The film, starring Spencer Tracy with an all-star cast composed largely of comedians, is about the madcap pursuit of a suitcase full of stolen cash by a colorful group of strangers. The principal cast features Edie Adams, Milton Berle, Sid Caesar, Buddy Hackett, Ethel Merman, Dorothy Provine, Mickey Rooney, Dick Shawn, Phil Silvers, Terry-Thomas, and Jonathan Winters."
the pink panther,1963,,https://upload.wikimedia.org/wikipedia/en/9/96/Pink_panther63.jpg,"The Pink Panther is a 1963 American comedy film directed by Blake Edwards, who co-wrote the script with Maurice Richlin. Produced by The Mirisch Company and distributed by United Artists, it is the first installment in The Pink Panther franchise and stars an ensemble cast led by David Niven, Peter Sellers, Robert Wagner, Capucine and Claudia Cardinale. Its story follows Inspector Jacques Clouseau (Sellers) as he travels from Paris to Cortina d'Ampezzo to catch a notorious jewel thief known as ""The Phantom"" (Niven) before he is able to steal a priceless diamond known as ""The Pink Panther""."
lilies of the field,1963,,https://upload.wikimedia.org/wikipedia/commons/e/e9/Lilies_of_the_Field_%281963_film_poster%29.jpg,"Lilies of the Field is a 1963 American comedy drama film directed and produced by Ralph Nelson. Adapted by James Poe from William E. Barrett's 1962 novel, the film takes its title from the Sermon on the Mount. It stars Sidney Poitier as Homer Smith, an itinerant handyman, who encounters a group of East German nuns in the Arizona desert. Led by the determined Mother Maria Marthe, played by Lilia Skala, the nuns believe Homer has been sent by God to build them a chapel."
8 1/2,1963,,,
mary poppins,1964,,https://upload.wikimedia.org/wikipedia/en/7/78/Marypoppins.jpg,"Mary Poppins is a 1964 American animated live action fantasy musical comedy film directed by Robert Stevenson and produced by Walt Disney, with songs written and composed by the Sherman Brothers. The screenplay is by Bill Walsh and Don DaGradi, based on P. L. Travers's book series Mary Poppins. The film, which combines live-action and animation, stars Julie Andrews, in her feature film debut, as Mary Poppins, who visits a dysfunctional family in London and employs her unique brand of lifestyle to improve the family's dynamic. Dick Van Dyke, David Tomlinson, and Glynis Johns are featured in supporting roles. The film was shot entirely at the Walt Disney Studios in Burbank, California, using painted London background scenes."
a shot in the dark,1964,,https://upload.wikimedia.org/wikipedia/en/b/b2/Shot_in_the_dark.jpg,"A Shot in the Dark is a 1964 comedy film directed by Blake Edwards, who co-wrote the screenplay with William Peter Blatty. Filmed in Panavision, it is a standalone sequel to The Pink Panther (1963) and is the second installment in the eponymous film series. Peter Sellers reprised his role as Inspector Jacques Clouseau of the French Sûreté, with Elke Sommer, Herbert Lom and George Sanders co-starring in supporting roles."
dr strangelove,1964,,,
my fair lady,1964,,https://upload.wikimedia.org/wikipedia/en/d/d5/My_fair_lady_poster.jpg,"My Fair Lady is a 1964 American musical comedy drama film adapted from Lerner and Loewe's 1956 stage musical based on George Bernard Shaw's 1913 stage play Pygmalion. With a screenplay by Alan Jay Lerner and directed by George Cukor, the film depicts a poor Cockney flower-seller named Eliza Doolittle who overhears phonetics scholar Henry Higgins casually wager that he could teach her to speak English so well she could pass for a duchess in Edwardian-era London, or secure employment in a flower store. It stars Audrey Hepburn as Doolittle, replacing Julie Andrews from the stage musical, and Rex Harrison as Higgins, reprising his role from the stage, with Stanley Holloway, Gladys Cooper and Wilfrid Hyde-White in supporting roles."
doctor zhivago,1965,,https://upload.wikimedia.org/wikipedia/en/6/64/DrZhivago_Asheet.jpg,"Doctor Zhivago is a 1965 epic historical romance film directed by David Lean with a screenplay by Robert Bolt, based on the 1957 novel by Boris Pasternak. The story is set in Russia during World War I and the Russian Civil War. The film stars Omar Sharif in the title role as Yuri Zhivago, a married physician and poet whose life is altered by the Russian Revolution and subsequent civil war, and Julie Christie as his lover Lara Antipova. Geraldine Chaplin, Tom Courtenay, Rod Steiger, Alec Guinness, Ralph Richardson, Siobhán McKenna, and Rita Tushingham play supporting roles."
the sound of music,1965,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Sound_of_music.jpg,"The Sound of Music is a 1965 American musical drama film produced and directed by Robert Wise from a screenplay written by Ernest Lehman. It is based on the 1959 stage musical composed by Richard Rodgers, with lyrics by Oscar Hammerstein II and a book by Lindsay and Crouse, itself based on the 1949 memoir The Story of the Trapp Family Singers by Maria von Trapp. The film stars Julie Andrews and Christopher Plummer, with Richard Haydn, Peggy Wood, Charmian Carr, and Eleanor Parker. Set in Salzburg, Austria, it is a fictional retelling of Maria von Trapp's experiences as governess to seven children, her eventual marriage with their father Captain Georg von Trapp, and their escape during the Anschluss in 1938."
